customer_id,first_name,last_name,state,city,created_at
1,Danielle,Johnson,Louisiana,East Donald,2023-08-02 06:03
2,Curtis,Yang,Ohio,New Roberttown,2020-08-16 03:38
3,Clayton,Hall,Rhode Island,New Jamesside,2020-02-21 01:16
4,Robert,Cole,Louisiana,Port Lindachester,2021-07-17 03:36
5,Matthew,Moore,Wisconsin,Curtisfurt,2021-05-16 09:36
6,Colin,Abbott,Rhode Island,Lindsaymouth,2021-04-02 03:24
7,Amanda,Dudley,Missouri,New Kellystad,2020-10-12 19:34
8,Barbara,Bush,Arizona,Port Keith,2020-07-28 01:47
9,Christopher,Hall,Connecticut,Ramirezstad,2023-01-21 01:49
10,Francisco,Kelly,Texas,Jacquelineland,2020-06-27 22:48
11,Chelsea,Jackson,Washington,East Steven,2023-04-24 07:29
12,Joseph,Schaefer,Vermont,Lake Mark,2022-05-14 03:28
13,Kayla,Brown,Arizona,Richardland,2020-03-06 07:07
14,Jason,Hahn,Virginia,Jasonfort,2020-03-02 21:41
15,Randall,Rocha,New Jersey,West Donald,2020-07-10 10:22
16,Julie,Ryan,West Virginia,Hurstfurt,2021-03-23 12:56
17,Michael,Osborn,Florida,Daviston,2021-04-21 06:53
18,Michelle,Hernandez,Hawaii,Carlsonfurt,2022-10-31 09:02
19,Patrick,Ferrell,North Dakota,Tashatown,2023-05-17 04:40
20,Erin,Wilson,Ohio,Kaylamouth,2020-02-24 10:07
21,Daniel,Graham,New Jersey,Lake Nancyview,2023-02-23 15:53
22,Teresa,Gill,North Carolina,Port Colleenhaven,2021-02-11 11:53
23,Chelsea,Hernandez,Wisconsin,New Stephanie,2023-08-23 12:34
24,Sandra,Sellers,Rhode Island,Tracyville,2023-01-21 03:39
25,Sarah,Koch,Maryland,North John,2022-05-09 12:43
26,Ashley,Miller,Washington,Cabreraside,2021-03-27 13:25
27,Katie,Anderson,New Mexico,West Allison,2022-07-08 21:57
28,Catherine,Brandt,Ohio,Lake Larry,2023-04-21 04:27
29,Wanda,Santos,New Hampshire,Martinezbury,2021-07-23 04:03
30,Caleb,Smith,Oklahoma,New Jeffrey,2020-01-14 14:44
31,Chad,Welch,Iowa,North Micheleland,2020-11-22 01:48
32,Willie,Ramirez,New York,New David,2022-05-15 03:21
33,Selena,Duncan,New Mexico,Port Thomas,2021-11-27 02:36
34,Richard,Davis,Texas,Gomezchester,2021-07-23 06:25
35,Stuart,Daniel,Utah,North Richardmouth,2020-11-14 15:27
36,Lauren,Rodriguez,Illinois,New Shane,2021-03-16 06:07
37,Robert,Ramirez,Kansas,South Lindseyside,2021-11-20 01:24
38,Corey,Pearson,Ohio,North Sarabury,2020-07-28 18:53
